Source,Fishing period,Species fishing year start month,Species code,Fishstock Code,Fishstock fishing year start month,Name,TAC allowance,Reported comm. catch (kg),Reported comm. catch (units),TACC (kg),Cust. allow. (kg),Rec. allow. (kg),Target,In QMS
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,HOK,HOK1,10,"Hoki 1,2,3,4,5,6,7,8, and 9 (Combined)",151540000,135418710,,150000000,20000,20000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,JMA,JMA7,10,"Jack mackerel 7, 8 & 9 (Combined)",,34189987,,32536763,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,SBW,SBW6I,4,Southern Blue Whiting Campbell Island Rise,40000000,14207558,,39200000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SQU,SQU1T,10,"Arrow squid All NZ waters except 6T & 10T, All methods",44740881,12111051,,44740881,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BAR,BAR1,10,Barracouta Auckland (East),,11110095,,11000456,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SQU,SQU6T,10,"Arrow squid Southern Islands, All methods",,10961594,,32369400,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,OYU,OYU5,10,Dredge Oyster Foveaux Strait,20300000,9905321,,14950000,,,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BAR,BAR7,10,Barracouta Challenger,,8356093,,11172853,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,EMA,EMA1,10,Blue Mackerel Auckland(East),7690000,7988054,,7630000,20000,40000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BAR,BAR5,10,Barracouta Southland,8370000,7126135,,8200000,2000,3000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,JMA,JMA3,10,"Jack mackerel 3, 4, 5 & 6 (Combined)",9000000,5559043,,8780000,20000,20000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,JMA,JMA1,10,"Jack mackerel Auckland (East), Central (East)",,5552515,,10000451,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,ORH,ORH3B,10,Orange Roughy South East (Chatham Rise...),5470000,4942104,,5197000,5000,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,LIN,LIN6,10,Ling Sub Antartic,8590000,4845904,,8505000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SWA,SWA4,10,Silver Warehou Chatham Rise,,4716906,,4089901,,,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SNA,SNA1,10,Snapper Auckland (East),8050000,4567216,,4500000,50000,3050000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,LIN,LIN5,10,Ling Southland,4036000,4034313,,3955000,1000,1000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,LIN,LIN7,10,Ling Challenger,3144000,3487068,,3080000,1000,1000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SWA,SWA3,10,Silver Warehou South East (Coast),,3395513,,3280300,,,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,EMA,EMA7,10,"Blue Mackerel Challenger, Central(West), Auckland(West)",3352000,3253741,,3350000,1000,1000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,OEO,OEO3A,10,Oreo South-East (Cook Strait/Kaikoura/Strathallan),3518000,3176703,,3350000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,HAK,HAK7,10,Hake Challenger,5120000,3086343,,5064000,5000,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,OEO,OEO4,10,Oreo South-East (Chatham Rise),3150000,2867131,,3000000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,LIN,LIN4,10,Ling Chatham Rise,4200000,2635980,,4200000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BAR,BAR4,10,Barracouta Chatham Rise,,2478783,,3019152,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RCO,RCO3,10,Red Cod South East (Coast),4930000,2251961,,4600000,5000,95000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,LIN,LIN3,10,Ling South East (Coast),2060000,2170832,,2060000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,OEO,OEO6,10,Oreo Sub-Antarctic,,2138052,,6000000,,,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,FRO,FRO7,10,Frostfish Challenger,2625000,2062898,,2623000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPD,SPD3,10,Spiny Dogfish South-East(Coast),5075000,2007354,,4794000,115000,115000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,TAR,TAR2,10,Tarakihi Central (East),2082000,1896275,,1796000,100000,150000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,TRE,TRE7,10,Trevally Challenger,,1767647,,2153353,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPD,SPD4,10,Spiny Dogfish South-East(Chatham Rise),1662000,1755569,,1626000,10000,10000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,TRE,TRE1,10,Trevally Auckland (East),,1717806,,1506887,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BYX,BYX2,10,Alfonsino Central (East),,1691754,,1574800,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RBT,RBT3,10,"Redbait 3, 4, 5 & 6 (combined)",2305000,1686560,,2190000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,ORH,ORH7A,10,Orange Roughy Challenger (North),1680000,1601069,,1600000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPD,SPD5,10,Spiny Dogfish 5 and 6 (Combined),3753000,1533578,,3700000,8000,8000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,WAR,WAR3,10,Blue Warehou South East (Coast),,1468411,,2530800,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GUR,GUR3,10,Gurnard South East (Coast),1290000,1418705,,1220000,3000,6000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,HAK,HAK1,10,Hake Auckland (East),,1349853,,3701143,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RSK,RSK3,10,"Rough Skate 3, 4, 5 and 6 (Combined)",1672000,1346079,,1653000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SNA,SNA8,10,Snapper Central (Egmont),1785000,1287529,,1300000,43000,312000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,TAR,TAR1,10,Tarakihi Auckland (East),2029195,1258653,,1447483,73000,487000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,STA,STA5,10,Stargazer Southland,1264000,1150961,,1264000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,TAR,TAR3,10,Tarakihi South East (Coast),1503000,1144231,,1403000,15000,15000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,LIN,LIN2,10,Ling Central (East),,1105518,,982000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,SBW,SBW6B,4,Southern Blue Whiting Bounty Platform,3209000,1100604,,3145000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,ELE,ELE3,10,Elephant Fish 3 & 4 Combined,1060000,1098388,,1000000,5000,5000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,TAR,TAR7,10,Tarakihi Challenger,,1053582,,1088490,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,STA,STA7,10,Stargazer Challenger,1181000,1029904,,1122000,1000,4000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BCO,BCO5,10,Blue Cod Southland,1452000,1027140,,1239000,2000,191000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,STN,STN1,10,Southern Bluefin Tuna 1-10 & high seas (combined),1000000,1008136,,971000,1000,8000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,KAH,KAH1,10,Kahawai Auckland (East),2220000,982751,,1075000,200000,900000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,4,CRA,CRA8,4,Spiny red rock lobster Southern,1161700,978060,,1070700,30000,33000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,COC,COC3,10,Cockle Otago,1500000,966575,,1470000,10000,10000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,RCO,RCO7,10,Red Cod Challenger,,945449,,3126075,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPD,SPD7,10,Spiny Dogfish Challenger,1983000,919523,,1902000,31000,31000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,FLA,FLA3,10,"Flatfish 3, 4, 5 & 6 Combined",1617000,886396,,1430000,5000,150000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GUR,GUR7,10,Gurnard Challenger,1065000,882364,,975000,15000,25000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,ORH,ORH1,10,Orange Roughy Auckland (East),1470000,881364,,1400000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GMU,GMU1,10,Grey Mullet Auckland (East) & (West) combined,1125000,820167,,925501,100000,100000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,GUR,GUR1,10,Gurnard Auckland (East),,786100,,2287525,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,WAR,WAR7,10,Blue Warehou Challenger,,771693,,1119723,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BYX,BYX3,10,"Alfonsino 3, 4, 5 & 6 Combined",,754064,,1010400,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,BCO,BCO4,10,Blue Cod Chatham Rise,,751799,,759339,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,KAH,KAH2,10,Kahawai Central (East),1530000,751517,,705000,185000,610000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SCH,SCH5,10,School Shark Southland,794000,710056,,743000,7000,7000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,STA,STA3,10,Stargazer South East (Coast),904600,669207,,901600,1000,2000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,FLA,FLA7,10,Flatfish Challenger,,650552,,2065600,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,WWA,WWA5B,10,White Warehou Southland and Sub-Antarctic,2621000,649099,,2617000,2000,2000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPO,SPO3,10,Rig South East (Coast),710000,647662,,600000,20000,60000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SCH,SCH1,10,School Shark Auckland (East),893000,632627,,689000,102000,68000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,SPE,SPE3,10,Sea Perch South-East(Coast),1022000,624574,,1000000,11000,11000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2018,10,OEO,OEO1,10,"Oreo 1,2A,2B,5A,7A,7B,8,9  (Combined)",2500000,601318,,2500000,0,0,No,Yes
